PartID,Size,Color,RPM_Min,RPM_Max,NoiseLevel_Min,NoiseLevel_Max
b88ab623-8563-441a-877d-cf8318903797,360.0,White / Silver,800.0,1900.0,,
85587826-f61b-4bcf-ba06-3aae906dc1bc,,,650.0,1800.0,8.0,27.0
e92cb50f-a36f-4841-8894-914a7172379c,240.0,Black,1850.0,1850.0,27.0,27.0
cff2ec6c-44c9-4d61-b1e9-a31ec14b6df4,240.0,,2435.0,2435.0,37.7,37.7
e281c642-4a40-4c4c-84ba-e20ddf8a7570,,,300.0,1500.0,19.2,24.6
6a521dbd-d692-49de-9c3b-d61fc7e5f66d,360.0,White,2450.0,2450.0,35.4,35.4
caefcc9f-e8e6-4076-a7d5-1e1147ce7ab8,360.0,Black,550.0,2300.0,36.0,36.0
f459a74d-926a-4ded-8de4-4a8fc906569d,,Black,300.0,1850.0,29.4,29.4
a7d9cbe8-1ba7-4e67-9765-3634ec7d180e,240.0,White / Black,500.0,1500.0,22.0,33.0
2d71c50f-d958-4bc0-93d6-64d600cc29cc,360.0,White,480.0,2400.0,,
68e226f6-b951-4c50-8e7d-6976694c3a41,240.0,White,500.0,2000.0,,
4b451938-7bdb-414d-bf88-e6726f44f93c,,Black / Silver,650.0,1750.0,27.2,27.2
f946135a-73a3-4927-88d1-67f383b5c2c2,280.0,White,500.0,1500.0,34.48,34.48
0b6f82f2-3f4b-4211-97bf-8803fcf12fe8,360.0,White / Black,800.0,2500.0,37.6,37.6
d83044e7-a352-435c-bf5b-d3900f2faf5b,240.0,White,650.0,1800.0,8.0,27.0
b0d666b0-388f-431b-ad0d-47949aa89492,,Black,600.0,2000.0,29.4,29.4
b0e77137-e256-4dd6-9051-e407341f3fed,280.0,Black,500.0,1700.0,5.0,33.8
4f5f1c5f-c765-495b-86bc-c172d2642913,240.0,Black,1850.0,1850.0,27.0,27.0
ffcaad7a-e4f3-4861-adcf-65c42db31bbe,,Black,300.0,1850.0,29.4,29.4
746f30ef-d847-4c73-8506-59b01f7f981a,,Black,2500.0,2500.0,,
d33e81bf-1e5e-4fb4-88e2-4d4c4cfe404d,240.0,Black,800.0,2000.0,29.0,29.0
b35a9713-1719-4fd2-8f97-b5989d83ff0f,240.0,Black,500.0,1800.0,17.9,30.6
d3ea7d5e-f42f-40a1-8d2c-08c3aee9f4a9,360.0,Black,800.0,2500.0,7.9,37.6
fd5f55f7-0a45-453f-8afc-dbc63aa2d94d,,Silver / Gray,1550.0,1550.0,25.6,25.6
2de3585e-4316-49e1-8295-ca0e0d3e0580,360.0,White,2300.0,3000.0,32.1,39.9
a9fbec07-6509-4bdd-8969-3e84e7c8cc1e,360.0,Black,,,8.0,34.0
00f9b7fb-0837-4bb0-8643-16ccf49b6764,240.0,Black,700.0,1800.0,15.2,35.2
38261883-2953-497a-8316-985869a14f3b,,White,650.0,2050.0,27.0,27.0
63e23e53-881d-4dc7-a90c-cc6fdf276d86,360.0,Black,2000.0,2000.0,27.7,27.7
cfaa8be0-b1b2-476b-a841-6f8cc955ff02,420.0,Black,2000.0,2000.0,10.0,37.0
5f1de3ed-6a1c-4a28-800a-db2de1fd7d4a,240.0,Black,500.0,2000.0,10.0,33.2
803619ef-9c38-47c9-8921-37d202a7d27e,,Black / Silver,2400.0,2400.0,27.3,27.3
ba99be8c-9d5e-4c1d-839a-2a9ffbb3d9c2,240.0,Black,500.0,1800.0,17.9,30.6
8bd63a88-538b-4134-bf95-9ba8d9c3ce02,240.0,Black,450.0,2000.0,10.0,30.4
edd4113f-525b-4fdc-b323-9208d48d90df,,,300.0,1500.0,19.2,24.6
581fca0d-cb6c-4fb1-ab93-3bdedd0c9a38,360.0,White,650.0,1800.0,8.0,27.0
78ebf470-2da9-4ab2-8353-b3ab4d5e3f68,,Black / Gray,200.0,2100.0,24.4,24.4
4325731c-4b7f-4c35-bebb-631e897262f7,360.0,Black,450.0,2000.0,29.7,29.7
77d09ca4-c7a3-4530-aaea-6f1397d59c6f,240.0,White,1850.0,1850.0,27.0,27.0
1e848e76-0f43-43dc-9e29-e3004197a552,,White / Silver,1550.0,1550.0,25.6,25.6
04fedf3e-7b50-4643-96db-3431f757926b,360.0,Black,500.0,1600.0,14.0,27.0
68e7ae98-4f85-4005-bf21-16b68b2eb3d0,360.0,Black / Silver,650.0,1800.0,6.0,30.0
12d6f3c8-8ee0-49ce-9d22-858fb00ca60e,,Black / Silver,1500.0,1500.0,25.6,25.6
41929b68-720d-40cf-bdf0-c6f1547e0092,240.0,Black,550.0,2100.0,5.0,34.1
ee06d011-9f9b-49ec-a165-40cc5d9d95df,,Brown / Silver,600.0,2500.0,14.8,23.6
46e865e8-aef2-4f05-b3c0-43126066bb21,360.0,White,350.0,1750.0,27.2,27.2
d1614cb5-694d-432c-967f-7c955f5404f3,360.0,White,2400.0,2400.0,10.0,37.0
f0569c21-9fb7-4655-8665-011dd5c02537,,,1850.0,1850.0,29.6,29.6
45a6ebd0-e370-4d7c-a03c-9347bbf652e5,,Black,1500.0,1500.0,11.0,23.6
e0c4f410-e822-4c37-8188-581ba39a7d6d,240.0,Black,2400.0,2400.0,37.0,37.0
345d2b11-3303-4d79-9804-4349b38a0a8a,360.0,White,800.0,1800.0,,
2537fd49-5947-4541-94f9-aa3b4466d9cf,360.0,Black,2200.0,2200.0,36.45,36.45
a79a71a3-40ca-46eb-ab4b-54a29d895101,240.0,White / Pink,900.0,2000.0,16.3,33.5
ed275fba-a9e4-4bb5-9fb3-a7b771dd107f,280.0,White / Black,500.0,1500.0,22.0,33.0
6c66562f-3f76-44d2-a09c-535bfe423881,,Black,600.0,2500.0,14.8,23.6
be0b376d-d33c-4d1c-ab32-ca9895037ff5,240.0,Black / Silver,2400.0,2400.0,37.0,37.0
0d5d1138-8d3b-4931-909c-f8ac86f547e5,240.0,Black,1800.0,1800.0,30.8,30.8
2dae68d9-a8af-4d1e-9791-377e44019fd0,,White,500.0,1850.0,25.9,31.5
7775c57d-bd3f-44f9-a71b-c2a82ba03564,,Black,1600.0,1600.0,11.5,24.4
6edadb4d-bcd7-4b01-bdf7-9b3d2e61cd65,240.0,Black,350.0,1750.0,27.2,27.2
9df2de16-1f63-4fdc-afa5-523b6a78988d,,Orange / Brown,2700.0,2700.0,22.4,22.4
9defc35b-b863-47f8-b66e-c091c2aa9dbb,,Red / Black,200.0,2100.0,24.4,24.4
18b3bac4-9c14-43cf-8cec-3b07820044aa,,Black,1500.0,1500.0,25.6,25.6
51ce7064-43f1-41ad-b98f-a3100cbefa53,240.0,Black,480.0,2400.0,,
822822fb-5ee7-48cf-be1e-c8404344092e,360.0,White,600.0,2200.0,36.45,36.45
8f29a7f8-2e51-4a08-bf59-a6c2fe50d85a,240.0,White,2450.0,2450.0,35.4,35.4
2c790c3a-694e-407c-b11d-093d2f8fdb9c,240.0,White,500.0,2250.0,32.9,32.9
0c0b0a24-0f20-452a-b3f6-7467052b427e,,Black / White,100.0,2000.0,,
5831c193-0081-4dd3-bfac-42daf7e287c6,360.0,White / Black,500.0,1500.0,22.0,33.0
e582a6de-bcb5-454f-b76b-315a4deee73f,240.0,Black,500.0,2000.0,14.3,34.3
e5ca55ed-700d-4c1f-8007-0cf38cdc1c92,120.0,Black,500.0,2000.0,21.0,36.0
1c11f9b0-8962-4e16-865f-b6fa26d17297,,,1800.0,1800.0,21.3,21.3
55d5c33e-0a3d-441e-a90a-298f068ff26b,,Silver / Beige,300.0,1600.0,13.1,17.6
c446e98e-f821-4266-b226-541a11d7a21b,,Black,500.0,1800.0,17.9,30.6
8b737766-f913-4e7d-91d8-0fdddc4e061c,240.0,Black / Silver,800.0,1900.0,,
952b78b6-6b0a-45e7-a50e-fa31118d32bd,,Black / Silver,500.0,1650.0,27.8,27.8
aa1ffba0-4bd4-456d-a105-5abc7ed2dac5,,White / Black,100.0,2000.0,,
18cd2f85-31c5-4657-82ce-c027e0c93320,240.0,Black,650.0,1800.0,6.0,30.0
71b1940e-e88b-4b78-b63d-44f693a652c2,240.0,Black,700.0,1500.0,18.0,26.4
dca285b5-5e8c-4be2-afd5-f1167d8ebd1e,240.0,Black,800.0,2500.0,7.9,37.6
8938c043-1feb-4783-9373-5b2cdd221d79,,Black / Silver,300.0,2000.0,,
82bb4e36-db72-4278-899d-bacc8521b525,,Black,100.0,2000.0,,
3f2514e6-613e-44b8-b5da-a71c3e32dba8,240.0,Black,2450.0,2450.0,35.4,35.4
216ab7e2-99a2-4603-b6bd-c6d176e8b441,,Silver / Black,1200.0,3500.0,33.5,33.5
05bd4aab-11ff-4f63-ad58-2e966d0b7d2d,280.0,Black,500.0,1500.0,19.4,32.1
50fe7306-fbe3-4bc8-b22a-00368fdec2e9,240.0,Black,,,8.0,32.3
4df38f1a-c081-49b9-88f9-0967d6d3a667,240.0,,650.0,2000.0,6.0,30.0
2fdb3f09-a453-4b31-9cce-ab1129ac1382,280.0,Black / Translucent White,500.0,2000.0,36.4,36.4
3b1a38be-8a9d-40f1-ac61-458345b83c77,280.0,Black,,,22.5,38.1
6cd5ef74-b62d-4b73-8839-4013db0b7955,240.0,White,700.0,1800.0,15.2,35.2
ccff2954-840e-466b-adbc-acbec22aef77,420.0,Black,500.0,1700.0,5.0,33.8
1ee7b709-c785-47c6-9425-5e9297c68b8a,,Black,650.0,2000.0,6.5,26.0
bb808cd9-9e07-480c-afd1-2af75c9c676e,280.0,White / Black,500.0,1500.0,22.0,33.0
221f03fe-9546-49da-965d-83fd8925ced1,240.0,Black,800.0,2500.0,37.6,37.6
5d691bf8-9b32-4c61-9264-b9a881a65f4f,360.0,Black,550.0,2200.0,31.6,31.6
2fcfa38f-c54a-45ea-b1d6-4d49f862d0ae,,Silver / Gray,1550.0,1550.0,25.6,25.6
38487f76-c0d9-4189-81dd-de45f319734c,,Black,800.0,2800.0,14.0,37.6
d06c81b8-3cfa-459c-a5de-426d9b01518c,,Black / Silver,500.0,1850.0,,
09358b6b-5095-44ca-8706-330d5d122508,,Silver,,,0.0,0.0
f87fdf3d-8597-4186-b0ce-ef727ace77f4,360.0,Black / Silver,800.0,1900.0,,
2787d9e1-d0c7-441a-8d4c-63a78681d562,,Black / Silver,650.0,1800.0,8.0,27.0
e4d980c5-e4ce-4a43-932e-605f72c3ab0f,240.0,White,2400.0,2400.0,10.0,37.0
978cdb10-421a-41e9-b030-748130a50dd2,,,300.0,1500.0,19.2,24.6
202ce6b9-0879-45b1-bd08-60573b95baf2,,Black,650.0,2050.0,27.0,27.0
9051629d-2359-4f20-8a07-532c5939e7c5,240.0,White / Gray,1800.0,1800.0,30.8,30.8
0e0aed6f-242b-4ad3-a5ca-634efeb35e11,240.0,White / Black,500.0,1500.0,22.0,33.0
72940b00-02a5-480a-b8e4-b9b5d7c00060,240.0,White,1500.0,1500.0,28.2,28.2
67f525a3-7912-4c92-a232-028df436bcca,240.0,White,350.0,1750.0,27.2,27.2
8a46a877-c5c8-4e8a-a7c2-92bcedcaf448,420.0,Black,400.0,2000.0,,
14aa9262-47b1-4c95-a8ab-05b7dcb8ace0,280.0,Black,2000.0,2000.0,10.0,36.0
3144dac2-5aec-4b3f-944a-0c619a783e46,280.0,Black / Silver,2000.0,2000.0,37.0,37.0
34af6d9e-dceb-4c29-a825-fa7ba23c6c6c,,Black,800.0,2800.0,32.5,32.5
6e19fdd3-42cf-4bcc-a5f7-6f91b4721320,,Black,300.0,2300.0,,
23c04a99-9765-432d-a6f5-619c43f47b4c,280.0,Black,500.0,1500.0,34.48,34.48
36307900-4867-466c-a593-f07555d1ac06,360.0,Black,500.0,2250.0,32.9,32.9
f3a12df4-f7de-4f51-9fdc-90d470ebbcaa,,White,500.0,2000.0,31.2,31.2
94ac206d-698e-401c-b913-0bf5cc356e1d,,Black,300.0,1500.0,4.0,28.6
6886eb9d-9e96-4c5e-b257-27326e2b6a36,360.0,White,500.0,2200.0,18.0,34.2
3de0ffab-731a-41ff-b0c6-cf80665b9602,,Black / Silver,300.0,1850.0,29.4,29.4
5b1b6a98-a3c2-47c2-9255-8cd565845749,,Black,1850.0,1850.0,29.6,29.6
