PartID,FormFactor,StorageBays,Color,SidePanel,Size,PSU
01d84f2a-4b20-4b11-bcac-6c3a10ab2795,MicroATX Mini Tower,2,Black / Orange,Acrylic,,
88b6fb87-4cc1-4ad4-85f0-199945a54242,ATX Mid Tower,1,White / Black,Tempered Glass,49.7,
adb514d4-8c5c-412f-9393-d3c97f80a0ff,ATX Mid Tower,6,Black,Tinted Tempered Glass,61.7,
3cce18e6-e9a3-4d61-a689-6a5aa4451578,ATX Mid Tower,2,Black,Acrylic,37.5,
3d4f9a9b-3a10-4dab-a3f7-cd6086fe0b3f,Mini ITX Tower,0,Black,Mesh,16.3,
f9a38311-5e1d-453a-9baf-079947073883,Mini ITX Tower,0,Black,Mesh,24.8,
7e8f8b11-9ec1-47d5-ad70-1744be26b560,ATX Full Tower,2,Black,Tempered Glass,83.5,
b1aeb325-bc03-4eef-aab6-7851af66d353,MicroATX Mini Tower,2,Black,Tempered Glass,33.8,
feccbbda-0856-40cf-9bcc-997661636e4d,ATX Mid Tower,2,Black,Tempered Glass,,
559b8d8a-7282-424a-ad16-fc9afd0dea3a,ATX Full Tower,5,Black,Tempered Glass,,
21537322-7692-4d96-a934-7b29133944c1,ATX Full Tower,2,White,Tempered Glass,78.9,
ab99a898-95df-4c19-9cf6-8e0dd1f9c248,ATX Mid Tower,2,Black,Tempered Glass,,
63adc7e7-cbb5-409a-bf93-bab210003190,ATX Mid Tower,2,Silver,Tempered Glass,38.3,
a4e24c8b-543f-46a1-a274-f6e98138a429,ATX Mid Tower,8,Black,,54.2,
c5ad1a3d-ad12-4b73-af57-5e8a7c08332b,ATX Full Tower,4,Black,Tempered Glass,,
073b47ae-c370-4a79-a82c-88ed60aca961,ATX Mid Tower,2,White,Mesh,45.1,
91120c30-2791-4c47-865d-3822f98fa917,ATX Mid Tower,1,Black,Tempered Glass,37.2,
aa4e2acd-d756-4a13-82f2-43732ea7f86b,ATX Mid Tower,2,White / Black,Tempered Glass,41.3,
350f8e54-4d6e-41a1-8322-d017bee57b84,ATX Mid Tower,4,Black,Tempered Glass,65.5,
ca461da5-033d-44fc-a553-9188b7d93776,ATX Mid Tower,1,White,Tempered Glass,47.0,
2669c198-158f-45c8-b3f4-f6c9f8307ade,ATX Mid Tower,2,Black,Tempered Glass,44.5,
f4bbe5d6-1f84-4be1-8ad7-2c6b50dc9c60,ATX Mid Tower,2,Black,Tempered Glass,42.5,
5340f478-ee01-454d-9fb9-5e83fde96fc1,ATX Mid Tower,2,Black,Tempered Glass,45.3,
ff9d3380-b3a9-4b38-bb14-ccf8c871a96d,ATX Full Tower,6,Black,Acrylic,68.6,
0a5ed030-a228-49b2-8f65-e89d77584767,ATX Mid Tower,2,White,Tempered Glass,41.3,
9953b511-c3b3-4b54-82df-60b26724a3b6,ATX Mid Tower,2,Black,Tempered Glass,49.5,
fa70d348-6750-4a40-a378-f73c52180ec6,ATX Mid Tower,6,Black,Tempered Glass,55.7,
43c6ce1c-5d38-49a6-97e1-15bdf078161f,ATX Mid Tower,2,Black,Tempered Glass,,
1deb1411-1c23-44fd-b6cc-ee9968f2b1ae,Mini ITX Desktop,0,Silver / Brown,Mesh,11.4,
29e9dbaa-72cd-4405-88c2-ef24ac8ee63a,MicroATX Mini Tower,3,White,Mesh,33.0,
eafc2da2-fce3-4c31-93d4-6f0a78cf44a7,MicroATX Mini Tower,2,Black,Tempered Glass,,
dd51a81d-4c6f-4a26-a859-1c23e631553d,MicroATX Mini Tower,2,White,Tempered Glass,31.6,
8cc3dd22-decc-42ff-a88a-23c0fa5c39ff,ATX Mid Tower,2,Black,Tempered Glass,55.8,
ba63a31d-409f-44d4-81a5-79d5a5568413,ATX Mid Tower,1,Black,Tempered Glass,37.2,
78787df4-511d-463f-94da-46d1ca7d8178,ATX Mid Tower,2,Black,,32.4,
9a6f8acf-3995-4c38-9830-ea8f013275b5,Mini ITX Tower,0,White,Mesh,16.3,
5ef4cd1a-9fbf-4463-9ff8-b3aa895627ea,ATX Mid Tower,2,Black,Tempered Glass,38.2,
114b2793-bbc9-4a9f-8068-18f487ea8572,ATX Mid Tower,2,Black,,39.4,
6ed04707-36ee-46c6-b2c8-9154115b463f,MicroATX Mini Tower,2,White,Tempered Glass,38.8,
5d5bc435-33e1-43dd-b240-3897a6b2f882,ATX Mid Tower,2,Black,Tempered Glass,48.9,
d76a9207-f3c4-484d-9899-7c548d5f1c40,ATX Full Tower,3,White,Tempered Glass,62.4,
1b772e24-2b50-4890-8fcb-c6e060b2968e,ATX Full Tower,2,Black,Tempered Glass,78.9,
bd8192b4-8262-4dbe-897b-be75ec623868,MicroATX Mid Tower,2,White,Tempered Glass,,
c7ec525c-a77d-4670-b3fe-7e3406b51ab5,Mini ITX Desktop,2,Black,,22.4,
30885421-b851-4716-9a12-dc270c787ad1,ATX Mid Tower,2,White,Tempered Glass,54.2,
2055332b-809f-471c-ac0b-dd5c2342fcaa,ATX Mid Tower,2,Black,Tempered Glass,48.3,
e94173cb-8c26-41c0-bad1-a29618e79f07,ATX Mid Tower,2,Black,Tempered Glass,43.5,
689a28e9-51da-4a2f-8e84-69100a573bdc,ATX Full Tower,4,White / Black,Tempered Glass,,
873ecab1-f59c-4271-b64e-a3e3c695ed95,ATX Mid Tower,2,Black,Tempered Glass,45.9,
3e370ec5-e402-48a3-898a-3db514060293,ATX Mid Tower,2,Black,Tempered Glass,,
e487968b-beab-4f46-a17a-a474425533bc,ATX Mid Tower,2,Black,Tempered Glass,40.6,
26a99fce-2ee6-4619-962b-3f0d8d192901,ATX Mid Tower,2,Black,Tempered Glass,41.7,
fc726073-3a53-40f4-8af8-f41e5a9b8c4e,ATX Mid Tower,2,Black,,46.2,
38cbbf9a-947d-44cd-91e8-6963fbc6da0a,HTPC,1,Black,,12.8,275.0
