PartID,Cores,BoostClock,CoreClock,Graphics,SMT,TDP,Socket,ChipsetID
24d24443-b47c-4bf6-86f5-694a826fc197,8,4.7,3.0,Intel HD Graphics 630,False,65,FCLGA1151,306
ef9ff1c0-755f-47f3-b464-0e4cea1e7340,6,4.2,3.6,,True,65,AM4,206
aa9e6301-d812-4a78-8493-76caf10c5507,4,4.2,3.8,Intel HD Graphics 630,False,91,FCLGA1151,307
493eadf5-8bee-43ee-80fb-32d7b47d8433,8,4.7,3.0,,False,65,FCLGA1151,308
b937c8ed-f6cd-4048-bf06-a819088b9008,6,4.6,3.0,Intel UHD Graphics 770,True,65,LGA 1700,309
059145a3-2abb-4411-9eb9-6a3a77d06f26,4,3.8,3.4,Intel HD Graphics 630,False,65,FCLGA1151,310
dc4e89e9-3dca-4271-a021-65cbcc8134ee,4,,3.5,Intel HD Graphics 4000,True,77,,311
3f07fca8-ecaa-477c-abd1-60b65a6ecb06,4,3.9,3.6,Radeon Vega 11,True,65,AM4,312
603f51a9-40ec-4709-9915-9461c5485b9e,8,3.7,3.0,,True,65,AM4,313
0b03ef85-e3c5-4cb9-ad6b-7b63769fbe00,4,3.9,3.5,Intel HD Graphics 4600,True,84,FCLGA1150,314
942d7417-1072-47a3-90a7-c771d440680a,22,3.6,2.2,,True,145,,315
93a14ceb-bfa3-4039-ab0f-60f77be9b101,10,5.3,3.7,,True,125,FCLGA1200,316
a50e7fc8-779f-4d45-938d-af4921383d57,8,5.3,3.5,,True,125,FCLGA1200,317
bff7f71f-47de-4a56-a5c6-635b434c19e7,12,4.7,3.8,,True,105,,318
69d3c35e-e032-428a-8b85-3940d0722b3f,4,3.4,3.2,Intel HD Graphics 4600,False,84,FCLGA1150,319
483232aa-ad83-4f06-95cf-ec9c85add310,4,4.0,3.6,Intel HD Graphics 4600,True,84,FCLGA1150,320
92a7121c-340a-4310-b1ab-b08644c23add,2,,3.4,Intel UHD Graphics 710,False,46,"LGA1700,BGA1700",321
50d8bd5f-6b38-40a0-94c8-c22691535c12,6,4.0,3.6,,True,95,AM4,322
be450b29-6902-4661-997c-15baf8f58be9,6,4.8,4.1,,True,125,FCLGA1200,323
91bb0d68-1d1b-4a5a-a5cc-2474fb559eb2,4,,3.6,Intel UHD Graphics 630,False,65,FCLGA1151,324
8068a31c-c4c2-454d-839d-02d329a84fc5,6,4.5,3.8,,True,95,AM4,325
7ab8bfb4-170b-45ea-853e-f8e74a3848c4,8,3.0,2.2,,True,95,,326
3c8ab988-938c-48b1-9747-992c1a926b13,4,,3.2,Intel HD Graphics 2500,False,77,,327
274eaa76-8b88-49ee-87bf-ee6d38d309f5,8,3.8,3.4,,True,95,AM4,328
32b33a4e-acb8-4d95-a599-384ed2769ae3,18,4.8,3.0,,True,165,FCLGA2066,329
1905eb73-6201-4a92-9cd5-8f53712545a3,4,4.3,3.8,,True,65,AM4,330
81cc81a6-6b0a-44ab-b3a3-602d5a3c0082,32,4.2,3.0,,True,250,sTR4,331
74658076-46e2-42a3-8ec7-eb407b8152db,6,4.9,3.9,,True,125,FCLGA1200,332
bce52aea-cfa2-42d6-8ce6-c6260b9ca207,2,,3.1,Intel UHD Graphics 610,False,65,FCLGA1151,333
bc0c41fb-bd44-4178-b710-2c646587a6a6,8,4.7,3.9,,True,105,AM4,334
57b92377-22c1-481f-bfeb-b2c7d3023501,2,,3.4,Intel UHD Graphics 610,False,58,FCLGA1200,335
b76ec8b8-a146-46d7-82c7-4d9fd077418f,6,4.1,2.9,Intel UHD Graphics 630,False,65,FCLGA1151,336
f7d879fb-1748-4d18-a658-5ff9cb22f30a,4,,3.4,Intel HD Graphics 2000,True,95,,337
30c14805-ca22-4a18-84f5-3730406ace02,6,4.6,3.7,,False,95,FCLGA1151,338
ac7184f9-1e90-4dfc-b301-7e4dd7eb5485,6,4.1,3.0,Intel UHD Graphics 630,False,65,FCLGA1151,339
dfed27d9-b6ab-4311-9cd2-ea6f224ac7ff,4,3.3,2.7,Intel HD Graphics 530,False,65,FCLGA1151,340
a7ddd1c9-f7c8-49c4-aaaf-eb897875bcbd,2,,3.7,Intel UHD Graphics 710,True,46,"LGA1700,BGA1700",341
5d1e6473-6653-4aea-a0b7-f9d3e0de9a61,4,,3.4,Intel HD Graphics 4000,False,77,,342
2c5afa66-9b4a-4f14-a006-33249aa40c7b,4,3.4,3.1,,False,65,,343
7a76156d-d963-4c83-ace5-b36cb36f5c75,16,4.7,3.5,,True,105,AM4,282
1ece3c1f-1d83-4b74-897b-b4eeb5566b78,8,5.0,4.0,Intel UHD Graphics 630,True,127,FCLGA1151,344
3a3b3d06-708b-4f41-8526-7d6acaaa6dbc,8,4.9,3.6,,False,95,FCLGA1151,345
2040f658-c2a8-4606-8db8-64b6d8fa0fcc,4,,3.2,Intel HD Graphics 4600,False,84,FCLGA1150,346
ec5da081-aa59-4d37-b060-648502029f7f,6,4.8,3.3,Intel UHD Graphics 770,True,65,LGA 1700,347
d730a925-d20e-4c3a-931c-0722c5549245,4,3.4,3.2,,True,65,AM4,348
437da382-2bc6-4c9f-9509-84cc51e5b48f,2,,3.5,Radeon Vega 3,True,35,,349
78e61e0f-fada-42ff-a554-a9ce4ce11e32,2,,4.0,Intel UHD Graphics 610,True,58,FCLGA1200,350
1771585d-2daf-4297-86c6-10272d6d45d0,2,,3.5,Intel HD Graphics 4400,True,54,FCLGA1150,351
53d4c7b2-4f96-4cea-bd8d-c5a5ccd4295a,12,4.0,3.5,,True,180,sTR4,352
5bdc4dfe-6fcd-4eec-9949-a780300e6ab6,4,3.7,3.5,,True,65,AM4,353
e36e389b-bdc2-46f8-ab97-9f315e2fddbc,2,,3.0,,False,65,,354
15dcd61d-0321-4c9a-b84e-8a69edf01c65,18,4.4,3.0,,True,165,FCLGA2066,355
31e2e736-1aff-4a20-b782-44e2ab6140f4,2,,3.7,Intel HD Graphics 530,True,51,,356
0458e94a-e93a-4de1-a1fc-ce1169867cac,8,4.0,3.6,,True,95,AM4,357
1ab5fdcd-5739-47de-a2c7-56417a703014,8,,3.5,,False,125,,358
71686b06-967d-4c3f-94b4-c361bc0ddde2,10,4.7,3.7,,True,165,FCLGA2066,359
e652780a-0f3d-4343-ae6e-53983ffd3ccd,4,4.4,4.0,Intel HD Graphics 4600,True,88,FCLGA1150,360
e0629ebd-e026-49fb-9b6e-29cb041605c5,16,5.1,2.4,,True,65,FCLGA1700,361
948740c2-d99b-42d4-ad71-7db67debbd64,2,,4.2,Intel HD Graphics 630,True,60,FCLGA1151,362
d1621ad3-840d-42d3-969d-53c67ac0fb98,6,4.7,3.7,Intel UHD Graphics 630,True,95,FCLGA1151,242
6d104120-22fe-44ec-9489-8e592028caa4,12,2.9,2.2,,True,105,,363
155003f3-0316-4d4b-9a60-541186352446,4,3.9,3.5,Intel HD Graphics 4600,False,84,,364
4a993bee-1c00-462c-8cba-b0c82f9c371e,8,3.7,3.2,,True,140,FCLGA2011-3,365
