PartID,Price,Manufacturer,Model
1faec2f5-b8cc-4268-9715-e84e0b22a63d,240.0,Intel,Core i7-10700KF
9f88371a-eadc-4b49-8168-3afc519cb62d,115.0,Intel,Core i3-9100F
48795106-cfc8-402d-aa87-5a02b4e92ad9,524.08,Intel,Core i9-13900F
1606eb3b-b4ba-42e0-a233-996a4eeb76ad,150.0,AMD,Ryzen 3 2200G
7d27d294-9e8b-46ab-8525-e5f814e8cc4b,290.26,Intel,Core i7-9700
60d8adab-e39e-4f48-92d7-066d5c074cdc,97.99,AMD,Ryzen 5 3600
7fce7fe5-86cd-46b6-b3c9-06bf26801f4e,164.0,Intel,Core i5-7600K
a2bb49fe-89bb-4e31-905a-c89c991f3c59,319.18,Intel,Core i7-9700F
2eb88f04-7278-4275-868f-74017a7ab5f9,233.99,Intel,Core i5-12500
f53dea02-9789-4b6d-b290-1d96ee3e550d,125.95,Intel,Core i5-7500
3cfd4a6b-cb85-48bb-8795-0872024fb4f2,139.0,Intel,Core i7-3770K
459329f1-b254-4b7d-87b9-3d998ce56d91,135.0,AMD,Ryzen 5 2400G
7900ab88-5356-4ec2-9acb-f34bdc6b34c6,215.0,AMD,Ryzen 7 1700
94556dc1-b83e-41ac-af9c-76a4112fc011,145.0,Intel,Core i7-4770K
ac89489e-da18-4c22-832b-b9b0527ddf23,490.0,Intel,Xeon E5-2699 V4
e1903ceb-58ac-45d1-a138-c61d9aa591b0,319.99,Intel,Core i9-10900KF
224f1669-e4ef-441d-bef6-67ad0dacb0ed,290.0,Intel,Core i9-11900KF
a8fdc582-b5b2-4fd2-8f7e-4c71a5d9e1de,450.0,AMD,Ryzen 9 3900XT
0f805970-e39a-41ae-8fbd-2f36cdce9f1e,80.98,Intel,Core i5-4460
1f73b78e-d5aa-4514-9ab3-3f6026d13b3e,319.66,Intel,Core i7-4790
ca6f77d5-7121-4c0f-a675-38fb3a8b7b59,70.81,Intel,Celeron G6900
52dcf736-379a-4825-a966-25627019ab60,140.63,AMD,Ryzen 5 1600X
1d218d27-418a-4840-af0e-b558fb703841,175.99,Intel,Core i5-10600KF
de2edccf-524a-4904-b83a-210d020bff53,110.0,Intel,Core i3-8100
09d95d29-f796-45f0-b090-dccf930d92b0,385.0,AMD,Ryzen 5 3600XT
cefc724b-3468-4182-9392-81f0cd8b3c8c,15.44,Intel,Xeon E5-2660
3ffbdcba-cf10-4c3e-8aee-a5a6ab491f72,156.68,Intel,Core i5-3470
163dabc2-2797-4db8-a4c7-de51b00f2d82,251.0,AMD,Ryzen 7 1700X
c7960870-e8a0-401c-b761-74f344813cdc,1193.0,Intel,Core i9-10980XE
b596df6a-fb5c-4687-bc32-8b1d824cabee,195.0,AMD,Ryzen 3 3300X
0ab32d2e-779e-480d-b474-85df556b1d46,2500.0,AMD,Threadripper 2990WX
6940fe7f-0ce0-4b6e-9bba-ab4bb6911492,198.99,Intel,Core i5-11600KF
1520fb01-b956-4641-9c42-bc7b6529c272,34.99,Intel,Celeron G4900
a7f637b8-12aa-4e78-899f-03346be6b1ea,407.95,AMD,Ryzen 7 3800XT
c3ac9666-3405-4ff8-9b12-a15c2b6197b0,39.49,Intel,Celeron G5900
10d249dd-32d1-4d84-b0d8-d2b9a2d28b2e,174.95,Intel,Core i5-9400
17254220-ed75-4d31-ad62-64b0289a1ffa,127.88,Intel,Core i7-2600
238417b7-1193-4847-ba7b-3baa8a5f7a94,236.12,Intel,Core i5-9600KF
ed259ec2-aab4-4e8a-a08b-9a46834e4c3c,185.0,Intel,Core i5-8500
da435a0d-b6e6-4f65-9e37-9cb22b3feff5,219.0,Intel,Core i5-6400
0cafd87d-b5bb-41f1-a2da-8edab0f9ff2d,89.99,Intel,Pentium Gold G7400
4652a414-0d63-4468-8200-cd2487b27c2d,97.0,Intel,Core i5-3570K
42f4907a-d824-48b1-ba8c-9f082a7cd123,98.22,AMD,Ryzen 3 1200 (14nm)
d7eeb887-2ead-4bc4-90f7-7322d7aba93a,1893.0,AMD,Ryzen 9 3950X
9086c523-e39f-4180-9cd3-160cf7ad387c,1989.0,Intel,Core i9-9900KS
8948f8ac-1a05-4fa3-ba80-287c434e1470,310.0,Intel,Core i7-9700KF
7def0dc0-928e-4ef2-a6f0-a202ab02d0cd,118.74,Intel,Core i5-4570
524bf03d-d347-4032-89c0-64c3216cd704,257.99,Intel,Core i5-12600
ad6445a5-e182-4125-8628-0d593830a446,110.0,AMD,Ryzen 5 1400
8860f88d-d2c9-4364-9d37-b310489fc55a,139.65,AMD,Athlon 3000G (14nm)
875a91fe-7cc6-42dd-9132-d4af328114c7,51.99,Intel,Pentium Gold G6400
043b90ca-8a40-46cb-b83d-13dabfb4f723,48.0,Intel,Core i3-4150
12a3a888-2611-4e36-9ed8-1eeda22bbd97,270.0,AMD,Threadripper 1920X
4c0a9eb9-b7a4-418d-876c-f23897ec9fc0,124.95,AMD,Ryzen 5 1500X
e983ef6d-524c-41f4-be46-f2ebc4f2f663,27.55,Intel,Core 2 Duo E8400
7214937f-a5e6-4c62-988a-122aef4275c2,2004.51,Intel,Core i9-9980XE
11021e50-1738-4322-9b24-63d104bc8966,100.0,Intel,Core i3-6100
dc413c7e-f85d-4b27-8717-8983ca8b46ab,295.0,AMD,Ryzen 7 1800X
e5ad1f57-98d9-4053-929d-5d894433bada,102.0,AMD,FX-8320
dd65ce02-2af4-4d8e-9c3d-eb4fde12f952,610.0,Intel,Core i9-10900X
a8a4bd0a-e205-473b-b0b8-d282b45772ed,200.0,Intel,Core i7-4790K
ea1e8a34-da04-4861-af7d-b90d0744d401,428.98,Intel,Core i9-12900F
8c11ff85-66cf-41d1-a0e3-af924a5b98a9,55.99,Intel,Core i3-7350K
6381af9d-0dde-4245-9aa9-707e5facb951,355.75,Intel,Core i7-8700K
fc485f2d-f147-4b19-82c4-0e1cf732dde6,79.0,Intel,Xeon E5-2650 V4
0c0b3728-7732-4802-a947-cff8dabaaabe,87.99,Intel,Core i5-4690
116b7d25-0a5b-42ea-804d-5e344347f21b,160.0,Intel,Core i7-6900K
f255d265-8aec-493d-81f6-627b26feef1d,140.05,Intel,Core i5-4670K
ac6e6160-ed05-40bb-8dc7-469f5660c55f,18.98,Intel,Celeron E3400
9f40008b-01c3-4a30-9aaa-3b3a3a5fb4fc,431.99,Intel,Core i9-12900
44b81af2-ac40-4399-a606-8f89cfadb309,289.99,Intel,Core i9-11900F
20b75606-9e43-48f7-b703-add1bc066ae6,115.0,Intel,Core i7-2600K
ec7ea4cd-2c2e-42a8-b558-e20c53a87af5,219.99,Intel,Core i5-10500
f24c56ef-705d-4cbe-80b0-9aff9d21e38e,33.98,Intel,Celeron G5925
0d0ed05f-9a60-46cb-8d6d-1bad72946746,114.12,Intel,Core i3-10105
20597c4d-cd4b-48dd-b2af-410907412d89,105.0,Intel,Core i3-7100
59f2e96f-7c4f-4c30-adca-e8886637d700,132.0,Intel,Core i7-6850K
dfb17819-38a4-4734-bed6-e57924f62bcf,962.32,AMD,Threadripper 1950X
d15d477b-99bb-4f08-b8d1-1a86268e32db,251.99,Intel,Core i3-10300
12771190-1ffd-4817-8fca-0fe2db1fa2fd,148.0,Intel,Core i3-9100
4e246842-4dba-4a69-92ab-73ab425cc66b,398.67,Intel,Core i7-8086K
95e9ee9f-d27a-4612-8cb5-90a496968070,309.99,Intel,Core i9-10900F
7fdf4073-9076-41c3-9a25-d5a884a91e66,449.95,AMD,Threadripper 2950X
1f7df46f-fe80-431d-87f8-bc7a97a2b80d,30.0,Intel,Celeron G440
92594ec9-1485-4a56-9533-715e36a0b297,29.48,AMD,Athlon II X2 240
574a5d2a-e166-49c4-8f7b-4f1185499efc,125.0,Intel,Core i5-7600
ae3a0b95-89f3-4847-8328-abe1910b763d,38.2,Intel,Xeon E5-2640 V3
57085762-b000-430a-9513-0a1331290cbc,416.0,Intel,Core i9-7900X
77205636-6acb-4933-9dcf-b8b3454b6f0c,545.0,Intel,Core i9-9900K (Standard Folding Box)
44884e45-788f-431b-8a03-cfffdea5ff06,321.99,Intel,Core i9-10900
b978a4cc-43fb-468a-bec0-042b1007b4a5,909.99,Intel,Core i9-9900K
b0ca7caa-38fa-4734-b5df-23fbf8b7b76a,94.0,Intel,Core i7-2700K
43655dd3-fe97-402f-9e58-e0bda6f6a535,349.95,Intel,Core i7-8700
13583ce5-5262-44b7-a67c-2d6d2e27063c,100.0,Intel,Core i5-4440
dcba6ad4-3a8b-4780-81d6-ab52dd3b3e3a,218.99,Intel,Core i5-11500
