PartID,Socket,FormFactor,MaxMemory,MemorySlots,Color
5c3dc37e-ecfa-4790-b117-bd628c8ec1f5,LGA1700,0,128,4,Black
e4beda8a-83ae-4a71-8d74-6cf7b828b877,LGA1200,0,128,4,Black / Silver
9c7efaa2-232e-46b8-9131-15b632f257fd,AM4,0,128,4,Silver / Black
1865d3fc-e78d-4306-88e6-4bfd2cca5628,AM5,0,192,4,Black
046cab64-24cd-4a9c-b4a0-73a17b85894d,LGA1700,0,192,4,Black
ecb990cc-5694-4707-9525-460bcbd850c6,LGA1700,0,128,4,Black
f4cc3fc6-71d2-4f22-bcdc-07c643824493,LGA1700,1,64,2,Gray / Black
09ac56e9-7c04-48a2-a435-959c162fe8ec,LGA1700,1,128,4,Black
42ec7920-c7a5-4657-b00e-160cbdfeb922,AM4,1,128,4,Silver / Black
647e1c72-226a-4c0f-897b-bb5b65834e3c,AM5,1,192,4,Black / Silver
998e5cbd-1c3e-4c4e-b096-4f725157fab8,LGA1200,1,64,2,Black / Silver
956f066c-64ea-4e32-bd70-561d36a2cb95,AM4,1,128,4,Black / Gray
828de87f-f808-42b7-9a14-9eab237e187a,AM5,0,192,4,Silver / Black
076cdea8-6ae8-440b-8996-285943458178,LGA1700,1,192,4,Black / Silver
c339bc19-5750-4f08-a2bf-5606f8b5aeba,AM4,0,128,4,Black
fb828210-3270-494c-bc42-0add91bd0655,AM4,1,128,4,Black / Silver
d6135324-d843-4d0a-8096-b84a6758c09f,AM5,1,96,2,Black
65a9a850-03fc-41fc-9ff5-f9ccacf6d049,LGA1700,0,128,4,Black
75f6889f-c3ef-49cc-94a2-8c7761741890,AM5,2,96,2,Black / Silver
c67f89e5-c3d2-4850-bd1c-33e8fdfde119,LGA1151,0,128,4,Brown / Black
28c7e86b-4b9c-4c39-b2a6-ce5ba2687ea5,AM4,1,128,4,
03860154-aa96-4c18-8375-e9d943773500,LGA1700,0,192,4,Black
061a8377-6160-4c3e-90e1-c09543d8739d,LGA775,2,4,2,Green / Blue
8162f620-1d28-47d0-8083-b23340e00f16,AM5,1,192,4,Black
9d68d863-f13b-4608-8bf9-898d9d3a678e,LGA1700,1,192,4,Silver / Black
35a2b681-2ef6-4f7b-8942-a8dc724669d2,AM5,0,192,4,Black
21ded2e0-ca13-4826-b586-52e6a7525c83,AM4,1,64,4,Black / White
58c9f576-dc14-41fd-8489-f06a7c4c0617,LGA1700,1,128,4,Black
21520e77-7f12-448d-92b5-e738d02ff1bd,AM4,2,64,2,Black / Silver
869bd6f4-6675-4910-95a5-55bd9c1bdc53,AM5,0,192,4,Black / Copper
96dff755-c069-4c34-b9bb-4571dfc3ac35,AM5,0,192,4,Black
a9ffbd0f-896c-4cc1-88c8-f57306d6b34d,AM4,1,128,4,Gray / Black
a6b83294-9ded-4c5d-b648-3b36c807e5e9,LGA1151,0,128,4,Silver / Black
3de88844-05db-459a-b285-b5954b4ba286,LGA1700,2,96,2,Silver / Black
07dcb29d-26d0-4f01-990e-b943a7b227c6,AM4,0,128,4,Black / Silver
82a741db-8562-4b80-bdae-c292719d3164,AM5,1,192,4,Black
f5694b41-1b9f-41e2-bf03-829a300eed0b,AM4,0,128,4,Black / Silver
2491a2ea-8309-4fd0-a386-a1206e372ee4,AM4,1,64,2,Black
a81bc348-dbea-45b0-9f76-74dfc4a363ff,AM5,2,96,2,Black / Gray
54e29cc3-ab69-434a-bb85-63b63d7c76c2,LGA1200,0,128,4,Black / Silver
4dfecf39-f1b3-43fc-90ab-c0f8bb85cb3c,AM4,1,64,4,Black
e8c373c4-1f17-493a-b51f-4cc3c96fa172,LGA1700,1,64,2,Brown / Silver
2cafc4d6-1af1-493d-932a-0840f8cd3f3b,LGA1700,1,128,4,Silver / Black
48342664-d69f-4e8c-9bc8-8d41a122de2e,LGA1700,0,192,4,Black / Copper
905868e3-cd2d-48b7-8d32-6c438b8eb911,LGA1700,2,96,2,Silver / Black
5df968a7-0c89-4ed1-9ff2-5ab5e9e93512,LGA1700,0,192,4,
d3ea20c0-9c99-4287-9b87-45f0741d05d7,LGA1700,0,128,4,Silver / Black
5517bdbb-bdb3-420c-a2eb-bbd474e883ad,AM4,0,128,4,Silver / Black
5b4ba32a-376a-44cc-bc3e-164e2ce0e3fa,LGA1700,0,192,4,Silver / Black
322dff93-12eb-4382-8366-32dfc86700fe,LGA1700,2,64,2,Silver / Black
dcacaaf4-d530-4310-a982-93bb9adc9c6a,AM5,0,192,4,Black / Silver
a83e79a3-1b2a-4073-b958-a580d369376d,LGA1151,1,32,2,Black
1ada3666-4f7f-4429-b161-1b2d4c7fd5e7,AM4,2,64,2,Silver / Black
d82aad3c-90a7-43d7-8be3-dd02e712553a,LGA1700,1,128,4,Silver / Black
9c7b40ec-6763-4c88-b3bc-00e207694fd3,LGA1700,3,192,4,Black / Silver
30f13a6f-a8c4-4cf3-ab03-9d35f98f3e4f,LGA1700,0,192,4,Black / Silver
260fda19-61f7-40a4-8515-959ce2f96ff0,AM4,1,128,4,Black
254757f9-f266-41fa-a43c-83a19fe64de7,LGA1700,0,128,4,Black
25e53000-49c3-4f56-8027-1609e8ec0ad4,AM4,0,128,4,Black
b2f4b7f3-9231-40a6-9889-6128bc1bb19e,AM5,0,128,4,Black
f502d30f-5e6e-4966-8bd9-1cfa46f8c3e0,AM5,3,192,4,Black
9a84a0bf-59ae-482a-a7c6-639f112f9101,AM4,0,128,4,Silver / Black
69a1bc79-d168-43db-8e35-cc802e6ce511,AM4,1,128,4,Black / Silver
ae9485c0-8b00-423a-b860-c058e4bcea06,AM5,0,192,4,Black / Silver
55efe2a9-7753-402d-8bdc-678e4a643bb6,LGA1700,1,128,4,Black
ce0b0b13-972c-43ea-9e59-a536162c77cb,AM5,0,192,4,Black / Blue
87deb57a-c5ab-429e-933f-ac6213eb447b,LGA1700,0,128,4,Black / Silver
73c7613a-97f2-465d-a46a-5c0dba59ca14,AM5,0,192,4,Black / Silver
e47f4dd3-2e2c-4f9c-8847-e14dec725628,LGA1700,0,192,4,Black
f7233b12-f174-46fb-bfe1-e65307c279ad,LGA1700,1,128,4,Black
bee5bba6-5d9f-4446-bd41-a446048d8280,LGA1700,0,128,4,Black / Gray
d486611c-20c8-4999-8487-03b22be6781e,LGA1700,1,128,4,Black / Orange
55f3bd00-b2d9-4cb2-8c9f-1ad5c308248a,LGA1700,2,96,2,Black
789a9efb-c49e-4860-b983-922d3bf6890e,AM5,0,192,4,Silver / Black
ac2a6565-8ef2-41f4-8482-2def37e64e4a,AM4,0,128,4,Black / Silver
ba898746-6e06-45db-8c0d-0cf136dbda90,AM5,3,192,4,Black / Silver
96337184-a871-4b4a-97a4-77840164d516,LGA1151,0,128,4,Silver / Black
a9df5cec-1086-4be2-81c5-0c156035da50,LGA1700,0,128,4,Black / Silver
ed3f7610-f732-4f82-a9c3-6ec9d192db86,AM4,0,128,4,Red / Black
4a79ba04-3d0a-4855-b0cc-67dd697c7a34,LGA1700,0,192,4,Silver / Black
