PartID,CoreClock,BoostClock,Memory,Chipset,Length,Color,TDP,ChipsetID
016e9bab-529b-4c59-9e97-c4674544debd,1530.0,1845.0,6.0,GeForce GTX 1660 SUPER,206.0,Black,125.0,22
d6e78f23-2aa5-4928-994b-76b333037449,2310.0,2790.0,12.0,GeForce RTX 4070 Ti,336.0,Black,,4
c4eda400-3103-4f54-b8e1-91a4db8f5a5f,2150.0,2618.0,12.0,Radeon RX 6750 XT,295.0,Black / Silver,,20
59f778a3-70c6-4bdb-b1de-644ccc67f8be,1958.0,2324.0,16.0,Radeon RX 6950 XT,330.0,Silver / Black,,5
e1d37215-990a-4493-9d27-6d17c728f82a,2300.0,2525.0,24.0,Radeon RX 7900 XTX,338.0,White,,9
c9a33550-389e-4b7b-b1a1-8650345c28b3,1440.0,1800.0,10.0,GeForce RTX 3080 10GB,300.0,Black,,29
c33aacd7-c08a-4d55-8ab3-a7a94263f1fa,2230.0,2565.0,24.0,GeForce RTX 4090,332.0,Black,,8
ef6854d9-ebbb-44c6-9d39-0654870d0730,1410.0,1695.0,8.0,GeForce RTX 3060 Ti LHR,222.0,Black,,30
e4cac083-d844-445c-ad27-ba9ad884266a,1920.0,,12.0,GeForce RTX 4070,338.0,Black / Gray,,2
22f5a9e9-103d-4d51-a333-2363b65217b4,2235.0,,24.0,GeForce RTX 4090,336.0,Black / Silver,,8
4b867ff3-b985-491a-8e4f-c203a10eb97d,1665.0,1680.0,8.0,GeForce RTX 3060 Ti,282.0,Black / Silver,200.0,11
cbe0fe07-c6fa-46fc-b875-f6de7dd01132,2300.0,2525.0,24.0,Radeon RX 7900 XTX,320.0,Black,,9
8eb468c6-e332-47a0-94d5-0bdd682fb5a6,2475.0,2505.0,12.0,GeForce RTX 4070,267.0,Black,,2
a8730e7d-63f2-49e4-b2c6-feda42e38b85,1920.0,2490.0,12.0,GeForce RTX 4070,226.0,Black,,2
09c89ed3-b279-48c1-b8ad-37edf83cb220,2000.0,2450.0,20.0,Radeon RX 7900 XT,330.0,Black,,16
6a3b6891-4be7-4a82-960d-b9cbd9d83e2b,2205.0,2520.0,16.0,GeForce RTX 4080,342.0,Black,,17
78932c7a-fa7d-4430-940c-e038420c5a84,2300.0,,24.0,Radeon RX 7900 XTX,353.0,Black,,9
61fe2553-d3f0-4797-a344-2d5ae14773c9,1720.0,2755.0,8.0,Radeon RX 7600,282.0,Black / Silver,,26
504cca4f-d3cc-4843-b5f1-91e8b0f49d59,2150.0,2600.0,12.0,Radeon RX 6750 XT,323.0,Black,,20
e3f16490-4c43-4770-828c-7e019e215c89,2310.0,,8.0,GeForce RTX 4060 Ti,281.0,White / Silver,,13
d5f29f35-55fe-48ce-954f-38fdd94a988d,1395.0,1800.0,24.0,GeForce RTX 3090,300.0,Black,350.0,31
7f9630b2-983f-4b8e-b06f-18e497a6e27b,1700.0,2155.0,16.0,Radeon RX 6800,300.0,Black,250.0,18
2573d3c3-4ba0-4446-b767-1883711ee8a1,1720.0,2755.0,8.0,Radeon RX 7600,240.0,Black / Red,,26
3d624e5f-f72b-49e4-aac7-e7bd2dd1049c,1941.0,2495.0,10.0,Radeon RX 6700,260.0,Black / Red,,19
4cff3f2f-3036-4518-992c-8351d8f2754b,2055.0,2669.0,8.0,Radeon RX 6650 XT,269.0,Black / Black,,14
2249bbf6-4633-4e07-8eee-67e8e7761300,1720.0,2695.0,8.0,Radeon RX 7600,235.0,Black / Silver,,26
e8414031-a34d-4a2c-b6c9-3b1525f73175,780.0,780.0,4.0,Radeon R7 240,146.0,Black,30.0,32
c69700e6-9c71-4e8f-82d1-53345fc61902,1410.0,1695.0,8.0,GeForce RTX 3060 Ti,305.0,Black,200.0,11
d8121f20-b7d4-46b3-8231-fc89570c5178,2205.0,2655.0,16.0,GeForce RTX 4080,358.0,White,,17
7ded1d42-206e-451b-ba40-93eb5f0a8ac4,2205.0,2535.0,16.0,GeForce RTX 4080,342.0,Black,,17
3ab76408-4068-4ea0-9b15-a772adf78a06,1320.0,1882.0,12.0,GeForce RTX 3060 12GB,301.0,Black,,1
25013979-db99-46a8-bb23-95f1365ffa27,2321.0,,12.0,Radeon RX 6700 XT,295.0,Black,230.0,3
8dbd54fc-3a54-44a5-baea-dbda56eba753,1500.0,1725.0,8.0,GeForce RTX 3070,282.0,Black / Silver,220.0,25
19c5e095-43af-40d5-ab08-b35859f054c7,1320.0,1867.0,8.0,GeForce RTX 3060 8GB,200.0,White,,33
ce57dc08-ea16-4b0c-b206-53193066ca9c,2055.0,2635.0,8.0,Radeon RX 6650 XT,241.0,Black / Silver,,14
4da0e892-f847-4e76-8d6f-93790f2cc2e9,2235.0,2520.0,24.0,GeForce RTX 4090,337.0,Black,,8
8f27529e-417a-4375-9349-257ca911766f,2300.0,2565.0,24.0,Radeon RX 7900 XTX,338.0,Black,,9
310c84bf-15c2-432e-8a96-6e778510f5ce,1550.0,,8.0,GeForce RTX 3050 8GB,282.0,Black,,34
b6cd1b82-962a-486b-a689-cc40d5ede128,2000.0,2500.0,20.0,Radeon RX 7900 XT,320.0,Black,,16
8b1159fb-fba3-4d6f-b0c5-09fae32bae17,1550.0,,8.0,GeForce RTX 3050 8GB,278.0,Black,,34
1f33a445-b401-46cd-b023-f5860947934d,1968.0,2602.0,8.0,Radeon RX 6600 XT,235.0,Black / Silver,160.0,35
09caf578-057a-4122-8695-54e9d0500912,1920.0,2565.0,12.0,GeForce RTX 4070,300.0,Black,,2
84aa5570-33b1-42f1-97ca-cab46e9f429d,2235.0,2565.0,24.0,GeForce RTX 4090,322.0,Silver / Black,,8
fbc7b999-8f54-4ad0-818e-ed04e8774ded,1950.0,2365.0,16.0,Radeon RX 6900 XT,340.0,Black / Silver,300.0,36
bd4200a0-20fc-4283-84df-4b1319ecdd56,1700.0,,16.0,Radeon RX 6800,303.0,Black / Red,250.0,18
5a7c5944-da1b-48fc-a9dc-3a4ab49b1284,1500.0,1815.0,8.0,GeForce RTX 3070 LHR,286.0,Black,,27
92be9a9f-a38d-445b-bd81-abc0a70e5bae,1575.0,1800.0,8.0,GeForce RTX 3070 Ti,316.0,Black / Silver,290.0,21
eed6b1db-fd4e-4cea-a084-86ba1a503277,2310.0,2610.0,12.0,GeForce RTX 4070 Ti,332.0,Black,,4
63b1219d-dead-4dc3-b141-ba3a7ed572d8,1920.0,2475.0,12.0,GeForce RTX 4070,247.0,Black,,2
049139c5-3175-429b-94a5-3ff894abfae6,1365.0,1800.0,12.0,GeForce RTX 3080 Ti,300.0,Black,350.0,37
6e958a5d-a03d-42b7-9d4e-2217130843aa,2200.0,2400.0,16.0,Arc A770,267.0,Black / Silver,,38
ffd15106-7488-4e84-9bee-057273132721,1920.0,2505.0,12.0,GeForce RTX 4070,261.0,Black,,2
ea1de604-ca19-493b-86b8-e375634eda5b,2300.0,2680.0,24.0,Radeon RX 7900 XTX,345.0,White,,9
527224dc-7ba1-4203-9616-8c53c2e3287c,2235.0,,24.0,GeForce RTX 4090,238.0,Black,,8
8e223358-2302-41cc-9b49-d864b66278fb,2250.0,,6.0,Arc A380,190.0,Black,,39
040a2530-1699-4aa9-b4b2-3950e206fd6d,2310.0,,8.0,GeForce RTX 4060 Ti,247.0,Black,,13
ad6409ce-ada7-4c73-b2cc-b88d101d026a,1830.0,,8.0,GeForce RTX 4060,272.0,Black,,15
c3618c87-1bd8-4262-a3f3-1a674d2b44ee,1830.0,2460.0,8.0,GeForce RTX 4060,163.0,Black,,15
